# Non-redundant combinations
# LAMP ver. 2.0.3
# item-file: /imppc/labs/dnalab/xduran/fim/data/ingr/data.csv
# value-file: /imppc/labs/dnalab/xduran/fim/data/ingr/values.csv
# significance-level: 0.05
# P-value computing procedure: fisher (greater)
# # of tested elements: 256, # of samples: 73405, # of positive samples: 5575
# Adjusted significance level: 5.7621e-08, Correction factor: 867738 (# of target rows >= 11)
# # of significant combinations: 198651 -> 76
Rank	Raw p-value	Adjusted p-value	Combination	Arity	# of target rows	# of positives in the targets
1	1.02765654335e-321	8.9174e-316	HistDuradaIngres,EdatMajor50,Urgent	3	10001	1948
2	1.02765654335e-321	8.9174e-316	HistDuradaIngres,HistUrgent,EdatMajor50	3	10001	1948
3	3.54739133714e-321	3.0782e-315	HistICD9_V58,Urgent	2	5618	1305
4	3.54739133714e-321	3.0782e-315	HistICD9_V58,HistUrgent	2	5618	1305
5	3.9920504184e-321	3.4641e-315	HistDuradaIngres,HistClasseAltaDomicili,Urgent	3	9826	1855
6	3.9920504184e-321	3.4641e-315	HistDuradaIngres,HistUrgent,HistClasseAltaDomicili	3	9826	1855
7	5.09875746508e-321	4.4244e-315	Urgent,HistClasseAltaDomicili,EdatMajor50	3	9324	1792
8	5.09875746508e-321	4.4244e-315	EdatMajor50,HistUrgent,HistClasseAltaDomicili	3	9324	1792
9	6.13629532135e-321	5.3247e-315	HistDuradaIngres,EdatMajor25,IngresMajor0	3	12933	2180
10	9.43665383557e-321	8.1885e-315	HistDuradaIngres,EdatMajor50,IngresMajor0	3	11387	2006
11	1.0053e-285	8.7235e-280	HistICD9_518,EdatMajor25	2	4561	1101
12	1.7474e-283	1.5163e-277	EdatMajor25,HistClasseAltaDomicili,IngresMajor0	3	13172	2085
13	1.9383e-278	1.6819e-272	HistProcedenciaIngres.1,EdatMajor25,IngresMajor0	3	8786	1609
14	1.9767e-235	1.7152e-229	HistICD9_041	1	3565	886
15	4.5688e-220	3.9645e-214	HistICD9_584	1	3057	790
16	6.9456e-218	6.027e-212	EdatMajor25,HistClasseAltaDomicili,IngresMajor1	3	10518	1674
17	4.0867e-206	3.5461e-200	HistICD9_276	1	2450	679
18	2.4618e-184	2.1362e-178	HistICD9_403	1	3096	741
19	1.6252e-178	1.4103e-172	EdatMajor25,HistICD9_285	2	3207	747
20	3.6252e-178	3.1457e-172	HistICD9_599	1	2733	680
21	5.0407e-175	4.374e-169	EdatMajor50,ICD9_518	2	5894	1077
22	3.7643e-161	3.2664e-155	EdatMajor50,HistICD9_491	2	2198	576
23	1.3229e-145	1.148e-139	HistICD9_519,EdatMajor25	2	2271	563
24	1.3577e-102	1.1781e-96	HistICD9_466	1	2033	459
25	7.9681e-97	6.9142e-91	HistProcedenciaIngres.8,EdatMajor25,IngresMajor1	3	4234	718
26	5.8043e-93	5.0366e-87	HistICD9_486	1	1309	340
27	3.907e-90	3.3903e-84	EdatMajor25,HistICD9_564	2	1032	293
28	1.651e-89	1.4326e-83	HistProcedenciaIngres.8,EdatMajor25,ProcedenciaIngres.8	3	7687	1064
29	8.0436e-82	6.9797e-76	EdatMajor25,ICD9_272,IngresMajor1	3	11681	1421
30	2.1122e-74	1.8328e-68	ProcedenciaIngres.1,EdatMajor25,ClasseAltaDomicili	3	14633	1659
31	2.7596e-74	2.3946e-68	HistICD9_507	1	1028	269
32	2.4917e-73	2.1621e-67	ProcedenciaIngres.1,EdatMajor25,IngresMajor1	3	13004	1510
33	1.4523e-70	1.2602e-64	HistICD9_995,EdatMajor25	2	769	223
34	1.4368e-69	1.2468e-63	ICD9_584	1	3806	604
35	5.448e-67	4.7274e-61	HistICD9_787	1	1148	275
36	3.3803e-66	2.9332e-60	EdatMajor25,HistICD9_197	2	1060	261
37	2.9705e-65	2.5776e-59	EdatMajor25,IngresMajor1,ICD9_V15	3	7849	1003
38	1.8266e-63	1.585e-57	HistICD9_492	1	854	226
39	8.2597e-63	7.1672e-57	ProcedenciaIngres.1,EdatMajor25,ICD9_272	3	6384	852
40	1.5537e-62	1.3482e-56	HistICD9_038	1	697	200
41	1.0901e-61	9.4592e-56	HistICD9_785	1	839	221
42	2.68e-60	2.3256e-54	EdatMajor25,HistICD9_998	2	1122	260
43	2.1614e-58	1.8755e-52	ICD9_197	1	1717	335
44	5.1848e-52	4.4991e-46	ICD9_599,EdatMajor25	2	3880	564
45	1.309e-47	1.1359e-41	EdatMajor25,HistICD9_788	2	1061	229
46	1.6093e-46	1.3965e-40	HistICD9_198	1	664	171
47	3.5421e-46	3.0736e-40	EdatMajor25,HistICD9_560	2	742	182
48	1.1797e-41	1.0236e-35	ICD9_V45,EdatMajor25,ProcedenciaIngres.1	3	3277	470
49	2.7965e-38	2.4266e-32	ICD9_414,IngresMajor1,EdatMajor25	3	5024	634
50	1.4866e-37	1.29e-31	ICD9_V45,EdatMajor25,IngresMajor1	3	5301	658
51	2.0639e-36	1.7909e-30	ProcedenciaIngres.1,EdatMajor25,ICD9_401	3	7324	843
52	2.9571e-36	2.566e-30	ProcedenciaIngres.1,ClasseAltaDomicili,ICD9_401	3	5103	634
53	6.9743e-36	6.0519e-30	ClasseAltaDomicili,EdatMajor25,ICD9_272	3	13164	1356
54	8.5686e-35	7.4353e-29	ProcedenciaIngres.1,ICD9_414,EdatMajor25	3	2808	400
55	1.7507e-34	1.5191e-28	ICD9_V46,IngresMajor1,EdatMajor25	3	1348	238
56	2.3362e-27	2.0272e-21	ICD9_294,IngresMajor1	2	1325	218
57	1.9845e-26	1.722e-20	IngresMajor1,ICD9_196	2	1120	192
58	8.9441e-26	7.7612e-20	HistICD9_784	1	682	137
59	1.4668e-23	1.2728e-17	ClasseAltaDomicili,IngresMajor1,ICD9_V87	3	1209	195
60	1.9857e-23	1.723e-17	HistICD9_V42,IngresMajor1	2	482	106
61	1.231e-19	1.0682e-13	ClasseAltaDomicili,IngresMajor1,ICD9_426	3	1457	211
62	2.3649e-19	2.0521e-13	HistICD9_389	1	488	99
63	6.0315e-19	5.2338e-13	HistProcedenciaIngres.7,ProcedenciaIngres.1,ClasseAltaDomicili	3	1308	193
64	4.7952e-17	4.161e-11	ProcedenciaIngres.1,ClasseAltaDomicili,ICD9_278	3	1009	155
65	1.7641e-16	1.5308e-10	ProcedenciaIngres.8,ClasseAltaDomicili,IngresMajor1	3	11504	1093
66	6.0655e-15	5.2633e-09	ProcedenciaIngres.1,ClasseAltaDomicili,ICD9_303	3	616	105
67	2.9393e-14	2.5505e-08	ProcedenciaIngres.8,ClasseAltaDesconegut,IngresMajor1	3	3633	400
68	7.1502e-14	6.2045e-08	HistICD9_295,ICD9_295,ICD9_401	3	81	30
69	2.5352e-13	2.1999e-07	HistICD9_295,Sexe,ICD9_401	3	64	26
70	2.8985e-12	2.5151e-06	ClasseAltaTrasllat.hospital.aguts,Sexe,HistICD9_724	3	86	29
71	7.4691e-11	6.4812e-05	ProcedenciaIngres.1,ClasseAltaDomicili,HistICD9_724	3	197	44
72	1.05e-10	9.1109e-05	ProcedenciaIngres.1,ClasseAltaDomicili,ICD9_459	3	440	74
73	1.6089e-09	0.0013961	ICD9_V42,ProcedenciaIngres.1	2	279	52
74	3.3742e-09	0.0029279	ProcedenciaIngres.8,HistICD9_366,IngresMajor1	3	369	62
75	7.7145e-09	0.0066942	Sexe,ProcedenciaIngres.1,ClasseAltaDomicili	3	8740	799
76	2.9457e-08	0.025561	ICD9_311,ClasseAltaDomicili,IngresMajor1	3	1204	145
Time (sec.): Computing correction factor 124.498, Enumerating significant combinations 17403.687, Total 17528.186
