# Non-redundant combinations
# LAMP ver. 2.0.3
# item-file: /imppc/labs/dnalab/xduran/fim/data/ingr/data.csv
# value-file: /imppc/labs/dnalab/xduran/fim/data/ingr/values.csv
# significance-level: 0.05
# P-value computing procedure: fisher (greater)
# # of tested elements: 256, # of samples: 73405, # of positive samples: 5575
# Adjusted significance level: 1.8578e-06, Correction factor: 26914 (# of target rows >= 8)
# # of significant combinations: 12096 -> 185
Rank	Raw p-value	Adjusted p-value	Combination	Arity	# of target rows	# of positives in the targets
1	3.54739133714e-321	9.5474e-317	HistICD9_V58,Urgent	2	5618	1305
2	3.54739133714e-321	9.5474e-317	HistICD9_V58,HistUrgent	2	5618	1305
3	4.9307751455e-321	1.3271e-316	HistDuradaIngres,Urgent	2	11492	2126
4	4.9307751455e-321	1.3271e-316	HistDuradaIngres,HistUrgent	2	11492	2126
5	5.11852009092e-321	1.3776e-316	Urgent,EdatMajor25	2	36434	4266
6	5.11852009092e-321	1.3776e-316	HistUrgent,EdatMajor25	2	36434	4266
7	9.91095685558e-321	2.6674e-316	Urgent,HistClasseAltaDomicili	2	10920	1968
8	9.91095685558e-321	2.6674e-316	HistUrgent,HistClasseAltaDomicili	2	10920	1968
9	1.13635098543e-320	3.0584e-316	EdatMajor50,IngresMajor0	2	34900	4120
10	1.40364049983e-320	3.7778e-316	Urgent,EdatMajor50	2	28797	3926
11	1.40364049983e-320	3.7778e-316	HistUrgent,EdatMajor50	2	28797	3926
12	1.0053e-285	2.7057e-281	HistICD9_518,EdatMajor25	2	4561	1101
13	4.1075e-279	1.1055e-274	HistClasseAltaDomicili,IngresMajor0	2	13954	2154
14	1.8302e-278	4.9258e-274	EdatMajor50,IngresMajor1	2	26636	3282
15	1.3195e-275	3.5512e-271	HistProcedenciaIngres.1,IngresMajor0	2	9245	1655
16	3.393e-269	9.1319e-265	HistProcedenciaIngres.1,EdatMajor50	2	10108	1737
17	3.3497e-264	9.0155e-260	HistProcedenciaIngres.1,EdatMajor25	2	11363	1860
18	4.6629e-258	1.255e-253	EdatMajor25,IngresMajor0	2	44782	4545
19	1.2432e-238	3.346e-234	EdatMajor25,HistICD9_427	2	5517	1150
20	1.4858e-238	3.9989e-234	EdatMajor50,HistICD9_427	2	5351	1129
21	5.5747e-238	1.5004e-233	HistICD9_272,IngresMajor0	2	6143	1226
22	1.9767e-235	5.32e-231	HistICD9_041	1	3565	886
23	2.2903e-234	6.164e-230	HistICD9_272,EdatMajor25	2	7999	1436
24	4.5688e-220	1.2296e-215	HistICD9_584	1	3057	790
25	2.8232e-215	7.5983e-211	HistClasseAltaDomicili,IngresMajor1	2	11156	1734
26	2.0717e-207	5.5757e-203	ICD9_428,EdatMajor50	2	7251	1298
27	3.6453e-206	9.8109e-202	ICD9_428,EdatMajor25	2	7388	1311
28	4.0867e-206	1.0999e-201	HistICD9_276	1	2450	679
29	2.4618e-184	6.6256e-180	HistICD9_403	1	3096	741
30	1.6252e-178	4.3741e-174	EdatMajor25,HistICD9_285	2	3207	747
31	3.6252e-178	9.7569e-174	HistICD9_599	1	2733	680
32	5.0407e-175	1.3567e-170	EdatMajor50,ICD9_518	2	5894	1077
33	7.1216e-172	1.9167e-167	ICD9_427,EdatMajor50	2	10607	1577
34	2.6596e-170	7.1582e-166	EdatMajor25,ICD9_518	2	6142	1096
35	1.7518e-168	4.7149e-164	EdatMajor50,HistClasseAltaDomicili	2	17587	2229
36	2.2494e-163	6.054e-159	ICD9_427,EdatMajor25	2	10997	1595
37	3.7643e-161	1.0131e-156	EdatMajor50,HistICD9_491	2	2198	576
38	1.5738e-158	4.2358e-154	EdatMajor25,HistClasseAltaDomicili	2	20301	2439
39	1.3229e-145	3.5605e-141	HistICD9_519,EdatMajor25	2	2271	563
40	1.4266e-137	3.8396e-133	ICD9_585,EdatMajor25	2	6778	1095
41	2.1818e-122	5.8721e-118	HistICD9_397,EdatMajor25	2	1832	463
42	6.5155e-114	1.7536e-109	EdatMajor25,HistICD9_305	2	3479	666
43	3.6287e-113	9.7664e-109	HistICD9_790,EdatMajor25	2	2288	512
44	1.3577e-102	3.6541e-98	HistICD9_466	1	2033	459
45	1.6551e-99	4.4545e-95	EdatMajor25,ICD9_403	2	5338	847
46	2.1283e-98	5.728e-94	HistICD9_424,EdatMajor25	2	2306	488
47	1.9543e-94	5.2598e-90	ICD9_250,EdatMajor25	2	11435	1441
48	5.1918e-94	1.3973e-89	HistProcedenciaIngres.8,IngresMajor1	2	4506	742
49	5.8043e-93	1.5622e-88	HistICD9_486	1	1309	340
50	3.907e-90	1.0515e-85	EdatMajor25,HistICD9_564	2	1032	293
51	2.0611e-86	5.5473e-82	EdatMajor25,HistICD9_V46	2	1441	349
52	2.4527e-85	6.6013e-81	HistProcedenciaIngres.8,ProcedenciaIngres.8	2	8106	1093
53	1.0696e-84	2.8786e-80	HistProcedenciaIngres.8,EdatMajor25	2	8065	1087
54	1.5412e-83	4.148e-79	EdatMajor25,HistICD9_293	2	1100	294
55	1.3815e-81	3.7182e-77	ICD9_272,IngresMajor1	2	11690	1421
56	4.4067e-81	1.186e-76	ICD9_491,EdatMajor25	2	3047	545
57	6.3057e-78	1.6971e-73	EdatMajor25,HistClasseAltaTrasllat.a.centre.socisanitari	2	2488	471
58	1.9463e-77	5.2383e-73	HistICD9_426,EdatMajor25	2	1825	386
59	1.772e-76	4.7692e-72	EdatMajor25,HistICD9_V43	2	2071	416
60	2.7596e-74	7.4273e-70	HistICD9_507	1	1028	269
61	6.153e-72	1.656e-67	HistICD9_V60,EdatMajor25	2	1645	352
62	9.4509e-72	2.5436e-67	EdatMajor25,IngresMajor10	2	7913	1031
63	1.4523e-70	3.9088e-66	HistICD9_995,EdatMajor25	2	769	223
64	2.4249e-70	6.5265e-66	EdatMajor25,HistICD9_294	2	1228	292
65	1.4368e-69	3.8671e-65	ICD9_584	1	3806	604
66	9.2462e-69	2.4885e-64	HistICD9_280,EdatMajor25	2	1369	309
67	5.448e-67	1.4663e-62	HistICD9_787	1	1148	275
68	3.3803e-66	9.0977e-62	EdatMajor25,HistICD9_197	2	1060	261
69	3.7424e-66	1.0072e-61	ICD9_401,IngresMajor1	2	12849	1468
70	1.7997e-64	4.8437e-60	IngresMajor1,ICD9_V15	2	7950	1010
71	1.8266e-63	4.9162e-59	HistICD9_492	1	854	226
72	2.2522e-63	6.0615e-59	HistICD9_733,EdatMajor25	2	1859	363
73	1.1738e-62	3.1591e-58	ProcedenciaIngres.1,ICD9_272	2	6389	852
74	1.5537e-62	4.1817e-58	HistICD9_038	1	697	200
75	2.7627e-62	7.4357e-58	ICD9_285,EdatMajor25	2	4780	688
76	8.913e-62	2.3988e-57	EdatMajor25,ICD9_041	2	4862	695
77	1.0901e-61	2.9339e-57	HistICD9_785	1	839	221
78	3.3851e-61	9.1108e-57	ProcedenciaIngres.1,IngresMajor1	2	14180	1565
79	2.68e-60	7.213e-56	EdatMajor25,HistICD9_998	2	1122	260
80	5.1059e-60	1.3742e-55	HistICD9_331,EdatMajor25	2	1330	288
81	2.1614e-58	5.8171e-54	ICD9_197	1	1717	335
82	5.1848e-52	1.3955e-47	ICD9_599,EdatMajor25	2	3880	564
83	1.2834e-51	3.4542e-47	EdatMajor25,ICD9_V15	2	12074	1338
84	1.4155e-51	3.8097e-47	EdatMajor25,ICD9_276	2	3087	478
85	7.7126e-50	2.0758e-45	EdatMajor25,ICD9_519	2	2303	386
86	1.309e-47	3.523e-43	EdatMajor25,HistICD9_788	2	1061	229
87	1.6093e-46	4.3313e-42	HistICD9_198	1	664	171
88	3.5421e-46	9.5332e-42	EdatMajor25,HistICD9_560	2	742	182
89	3.7021e-43	9.9638e-39	HistICD9_789,EdatMajor25	2	680	168
90	6.1734e-43	1.6615e-38	EdatMajor25,ICD9_V12	2	5621	709
91	4.1237e-42	1.1098e-37	HistProcedenciaIngres.7,IngresMajor1	2	4239	570
92	1.2901e-41	3.4721e-37	EdatMajor25,ICD9_416	2	1869	316
93	1.7732e-41	4.7724e-37	EdatMajor25,ICD9_466	2	2082	340
94	2.8205e-41	7.5911e-37	ICD9_V45,ProcedenciaIngres.1	2	3288	470
95	2.2121e-40	5.9537e-36	EdatMajor25,HistICD9_327	2	776	177
96	2.9699e-38	7.9931e-34	ICD9_414,IngresMajor1	2	5025	634
97	5.8338e-38	1.5701e-33	EdatMajor25,ICD9_397	2	2110	334
98	6.6298e-37	1.7843e-32	ICD9_V45,IngresMajor1	2	5327	658
99	3.5038e-36	9.43e-32	ProcedenciaIngres.1,ICD9_401	2	7335	843
100	9.2625e-35	2.4929e-30	ProcedenciaIngres.1,ICD9_414	2	2809	400
101	2.8005e-34	7.5372e-30	ICD9_V46,IngresMajor1	2	1352	238
102	7.0023e-34	1.8846e-29	ICD9_V46,EdatMajor25	2	1929	303
103	2.1238e-33	5.7161e-29	ProcedenciaIngres.8,ICD9_401	2	9674	1040
104	2.2296e-33	6.0008e-29	EdatMajor25,ICD9_780	2	4471	562
105	8.8737e-33	2.3883e-28	ICD9_V45,EdatMajor25	2	9110	987
106	1.2252e-32	3.2974e-28	EdatMajor25,HistICD9_438	2	630	143
107	1.6564e-30	4.4579e-26	ProcedenciaIngres.1,ICD9_424	2	1182	209
108	2.3044e-30	6.2021e-26	ICD9_424,IngresMajor1	2	2557	360
109	7.8144e-29	2.1032e-24	ProcedenciaIngres.8,ICD9_272	2	8637	925
110	9.1188e-28	2.4542e-23	Sexe,HistICD9_493	2	713	145
111	2.3362e-27	6.2876e-23	ICD9_294,IngresMajor1	2	1325	218
112	1.9845e-26	5.341e-22	IngresMajor1,ICD9_196	2	1120	192
113	8.9441e-26	2.4072e-21	HistICD9_784	1	682	137
114	1.5032e-24	4.0457e-20	ICD9_790,IngresMajor1	2	2799	365
115	1.9857e-23	5.3442e-19	HistICD9_V42,IngresMajor1	2	482	106
116	3.0309e-23	8.1575e-19	IngresMajor1,ICD9_V87	2	1543	231
117	1.8108e-22	4.8737e-18	ClasseAltaTrasllat.hospital.aguts,ProcedenciaIngres.8	2	4665	535
118	9.5278e-22	2.5643e-17	HistICD9_362,IngresMajor1	2	483	103
119	1.6993e-21	4.5736e-17	ICD9_733,IngresMajor1	2	2509	325
120	2.1971e-21	5.9134e-17	ICD9_272,ICD9_401	2	10864	1074
121	7.6023e-21	2.0461e-16	ProcedenciaIngres.1,HistICD9_410	2	206	61
122	2.558e-20	6.8846e-16	Sexe,ICD9_272	2	8976	906
123	2.906e-20	7.8211e-16	IngresMajor1,ICD9_278	2	2729	342
124	5.0363e-20	1.3555e-15	ICD9_507,IngresMajor1	2	843	144
125	1.8046e-19	4.8569e-15	ProcedenciaIngres.1,ClasseAltaTrasllat.a.centre.socisanitari	2	3356	399
126	2.3649e-19	6.3648e-15	HistICD9_389	1	488	99
127	6.8975e-19	1.8564e-14	HistProcedenciaIngres.7,ProcedenciaIngres.1	2	1584	222
128	1.055e-18	2.8395e-14	HistClasseAltaDesconegut,IngresMajor1	2	986	157
129	4.1654e-18	1.1211e-13	ProcedenciaIngres.1,HistICD9_362	2	251	64
130	5.6593e-18	1.5232e-13	IngresMajor1,ICD9_426	2	1947	256
131	7.7551e-18	2.0872e-13	HistClasseAltaDesconegut,ICD9_401	2	473	94
132	1.3499e-17	3.6332e-13	ProcedenciaIngres.8,HistClasseAltaDesconegut	2	1567	216
133	4.6811e-17	1.2599e-12	ProcedenciaIngres.8,ICD9_293	2	874	140
134	2.1682e-16	5.8354e-12	ProcedenciaIngres.1,ICD9_278	2	1326	187
135	2.8227e-16	7.5969e-12	ICD9_553,IngresMajor1	2	2122	267
136	5.9442e-16	1.5998e-11	ICD9_562,IngresMajor1	2	1475	201
137	1.1301e-15	3.0414e-11	ICD9_412,ProcedenciaIngres.1	2	818	130
138	7.1226e-15	1.917e-10	ICD9_V14,IngresMajor1	2	3207	364
139	1.6469e-14	4.4324e-10	HistICD9_362,ICD9_272	2	347	71
140	2.1836e-14	5.8769e-10	ICD9_572,IngresMajor1	2	551	96
141	3.0223e-14	8.1343e-10	ClasseAltaDesconegut,IngresMajor1	2	3843	419
142	3.8286e-14	1.0304e-09	ICD9_412,IngresMajor1	2	1498	197
143	4.4232e-14	1.1905e-09	ICD9_788,ClasseAltaDomicili	2	1063	152
144	6.9525e-14	1.8712e-09	ICD9_788,IngresMajor1	2	1203	166
145	7.4785e-14	2.0128e-09	ProcedenciaIngres.1,ICD9_572	2	334	68
146	1.8094e-13	4.8699e-09	IngresMajor1,HistICD9_724	2	596	99
147	3.8188e-13	1.0278e-08	HistICD9_295,ICD9_401	2	91	31
148	6.4693e-13	1.7412e-08	HistICD9_295,ICD9_295	2	341	67
149	3.7332e-12	1.0047e-07	ProcedenciaIngres.1,ICD9_327	2	378	70
150	5.9604e-12	1.6042e-07	ProcedenciaIngres.1,ICD9_332	2	534	88
151	6.4535e-12	1.7369e-07	ProcedenciaIngres.1,ICD9_V14	2	1738	212
152	7.6482e-12	2.0584e-07	Sexe,ICD9_278	2	2385	273
153	9.0387e-12	2.4327e-07	ICD9_305,IngresMajor1	2	5601	559
154	1.1762e-11	3.1657e-07	HistProcedenciaIngres.7,ICD9_272	2	2341	268
155	1.3398e-11	3.606e-07	Sexe,ICD9_401	2	10517	971
156	8.036e-11	2.1628e-06	IngresMajor1,ICD9_574	2	1312	166
157	8.3058e-11	2.2354e-06	ClasseAltaTrasllat.hospital.aguts,HistICD9_724	2	135	35
158	2.4467e-10	6.5851e-06	ICD9_996,ProcedenciaIngres.1	2	371	65
159	2.7923e-10	7.5152e-06	HistICD9_362,ICD9_401	2	306	57
160	5.7077e-10	1.5362e-05	HistICD9_729,IngresMajor1	2	232	47
161	5.7478e-10	1.547e-05	ICD9_459,IngresMajor1	2	1093	141
162	8.2854e-10	2.2299e-05	ICD9_V42,IngresMajor1	2	642	94
163	1.1722e-09	3.1548e-05	ICD9_070,IngresMajor1	2	847	115
164	1.2529e-09	3.372e-05	HistProcedenciaIngres.7,ICD9_401	2	2552	277
165	1.3499e-09	3.633e-05	ICD9_305,HistClasseAltaAlta.voluntària	2	83	25
166	1.3671e-09	3.6794e-05	HistClasseAltaAlta.voluntària,ClasseAltaDomicili	2	108	29
167	1.6089e-09	4.3301e-05	ICD9_V42,ProcedenciaIngres.1	2	279	52
168	2.6424e-09	7.1117e-05	IngresMajor1,ICD9_300	2	1916	217
169	3.0901e-09	8.3168e-05	ICD9_786,IngresMajor1	2	510	78
170	3.262e-09	8.7794e-05	ICD9_998,IngresMajor1	2	1204	149
171	5.8752e-09	0.00015812	ICD9_996,IngresMajor1	2	1021	130
172	1.1286e-08	0.00030376	ICD9_305,ProcedenciaIngres.1	2	2780	292
173	1.783e-08	0.00047987	ICD9_305,ICD9_272	2	2614	276
174	3.3106e-08	0.00089101	ICD9_295,ICD9_401	2	182	37
175	3.9381e-08	0.0010599	ICD9_715,ProcedenciaIngres.1	2	1325	156
176	3.9984e-08	0.0010761	HistICD9_366,IngresMajor1	2	626	87
177	4.1601e-08	0.0011197	ICD9_311,IngresMajor1	2	1646	186
178	5.0045e-08	0.0013469	IngresMajor1,ICD9_362	2	697	94
179	7.8468e-08	0.0021119	ICD9_715,IngresMajor1	2	2658	276
180	1.4141e-07	0.003806	ProcedenciaIngres.1,ICD9_362	2	444	66
181	1.4477e-07	0.0038963	ICD9_724,IngresMajor1	2	955	118
182	2.7632e-07	0.0074369	ICD9_305,ICD9_401	2	2584	266
183	7.3539e-07	0.019792	ICD9_272,HistICD9_366	2	455	65
184	1.0938e-06	0.029438	ICD9_305,ProcedenciaIngres.8	2	3835	370
185	1.159e-06	0.031194	ICD9_365,ProcedenciaIngres.8	2	839	103
Time (sec.): Computing correction factor 14.109, Enumerating significant combinations 7122.110, Total 7136.218
