# LAMP ver. 2.0.3
# item-file: data/conditions/data_346.csv
# value-file: data/conditions/values_346.csv
# significance-level: 0.05
# P-value computing procedure: fisher (greater)
# # of tested elements: 106, # of samples: 16228, # of positive samples: 1393
# Adjusted significance level: 5.1493e-05, Correction factor: 971 (# of target rows >= 5)
# # of significant combinations: 37
Rank	Raw p-value	Adjusted p-value	Combination	Arity	# of target rows	# of positives in the targets
1	1.7479e-23	1.6972e-20	311	1	907	170
2	1.6092e-14	1.5625e-11	692	1	758	129
3	1.8217e-14	1.7689e-11	472	1	1225	183
4	2.5157e-13	2.4428e-10	995	1	2664	329
5	6.5714e-13	6.3808e-10	995,311	2	193	50
6	1.0825e-10	1.0511e-07	995,692	2	276	58
7	1.5738e-10	1.5281e-07	311,401	2	208	48
8	2.2536e-10	2.1882e-07	729	1	138	37
9	3.0922e-10	3.0025e-07	995,401	2	366	69
10	4.9852e-10	4.8406e-07	472,311	2	111	32
11	1.2108e-09	1.1757e-06	311,272	2	256	53
12	8.6795e-09	8.4278e-06	472,995	2	709	106
13	1.7271e-08	1.677e-05	995,401,272	3	133	33
14	8.7041e-08	8.4517e-05	311,692	2	84	24
15	9.4327e-08	9.1592e-05	733,311	2	56	19
16	9.6096e-08	9.3309e-05	995,311,272	3	67	21
17	1.4322e-07	0.00013907	311,729	2	37	15
18	2.8179e-07	0.00027362	401,729	2	21	11
19	7.0467e-07	0.00068423	041	1	717	100
20	8.1139e-07	0.00078786	733	1	530	79
21	9.912e-07	0.00096245	995,272	2	515	77
22	1.3612e-06	0.0013217	995,041	2	173	35
23	2.6141e-06	0.0025383	995,250	2	93	23
24	3.5201e-06	0.003418	472,311,995	3	63	18
25	5.888e-06	0.0057173	472,692	2	184	35
26	7.4072e-06	0.0071924	311,569	2	60	17
27	8.1958e-06	0.0079581	311,401,729	3	11	7
28	9.4553e-06	0.0091811	780	1	61	17
29	1.0826e-05	0.010512	995,250,401	3	44	14
30	1.7297e-05	0.016796	733,995,401	3	20	9
31	1.902e-05	0.018468	472,041	2	97	22
32	1.9186e-05	0.018629	995,041,272	3	46	14
33	2.112e-05	0.020508	472,311,401	3	30	11
34	3.2768e-05	0.031817	995,311,401	3	48	14
35	4.2479e-05	0.041247	995,311,692	3	32	11
36	4.3871e-05	0.042599	733,995	2	95	21
37	5.0053e-05	0.048602	995,401,692	3	38	12
Time (sec.): Computing correction factor 0.138, Enumerating significant combinations 6.241, Total 6.378
