# LAMP ver. 2.0.3
# item-file: data/conditions/data_472.csv
# value-file: data/conditions/values_472.csv
# significance-level: 0.05
# P-value computing procedure: fisher (greater)
# # of tested elements: 106, # of samples: 16228, # of positive samples: 1225
# Adjusted significance level: 4.2337e-05, Correction factor: 1181 (# of target rows >= 4)
# # of significant combinations: 110
Rank	Raw p-value	Adjusted p-value	Combination	Arity	# of target rows	# of positives in the targets
1	1.395e-265	1.6475e-262	995	1	2664	709
2	2.8292e-117	3.3412e-114	995,493	2	530	227
3	1.6478e-95	1.9461e-92	493	1	839	259
4	7.094e-63	8.3781e-60	995,692	2	276	121
5	1.2029e-52	1.4206e-49	995,272	2	515	153
6	5.4326e-49	6.4159e-46	692	1	758	184
7	5.061e-40	5.977e-37	995,346	2	329	106
8	3.8528e-33	4.5502e-30	995,493,692	3	71	45
9	1.123e-29	1.3263e-26	995,401	2	366	98
10	1.5285e-29	1.8052e-26	493,692	2	85	46
11	2.8222e-26	3.3331e-23	995,493,272	3	97	46
12	8.396e-26	9.9156e-23	995,041	2	173	61
13	1.6867e-24	1.992e-21	995,311	2	193	63
14	5.1511e-22	6.0835e-19	493,272	2	154	53
15	5.5442e-21	6.5476e-18	995,346,493	3	59	32
16	4.9395e-17	5.8335e-14	995,041,493	3	31	21
17	5.0123e-16	5.9196e-13	995,493,401	3	75	31
18	4.2492e-15	5.0183e-12	346,493	2	101	35
19	1.8217e-14	2.1514e-11	346	1	1393	183
20	5.9218e-14	6.9936e-11	995,714	2	109	35
21	6.1884e-14	7.3085e-11	995,272,401	3	133	39
22	2.5882e-13	3.0567e-10	995,569	2	108	34
23	2.6728e-13	3.1566e-10	995,311,493	3	42	21
24	4.172e-13	4.9271e-10	995,493,272,401	4	24	16
25	4.4427e-13	5.2469e-10	493,401	2	128	37
26	9.9439e-13	1.1744e-09	995,346,692	3	58	24
27	3.7341e-12	4.41e-09	995,493,569	3	23	15
28	4.319e-12	5.1008e-09	041,493	2	47	21
29	5.564e-12	6.5711e-09	995,272,692	3	57	23
30	1.4114e-11	1.6668e-08	346,692	2	129	35
31	2.3581e-11	2.785e-08	311,493	2	71	25
32	2.6045e-11	3.0759e-08	995,041,272	3	46	20
33	4.3948e-11	5.1903e-08	493,569	2	38	18
34	1.7658e-10	2.0854e-07	995,346,272	3	77	25
35	2.6674e-10	3.1502e-07	995,311,272	3	67	23
36	4.7191e-10	5.5733e-07	995,401,692	3	38	17
37	6.051e-10	7.1462e-07	995,714,272	3	34	16
38	6.3477e-10	7.4966e-07	995,041,692	3	22	13
39	7.1387e-10	8.4308e-07	272	1	2755	288
40	1.2581e-09	1.4858e-06	493,272,401	3	40	17
41	1.3441e-09	1.5874e-06	995,724	2	13	10
42	1.4205e-09	1.6776e-06	696,995	2	116	30
43	3.0514e-09	3.6037e-06	272,692	2	162	36
44	4.6183e-09	5.4542e-06	995,311,401	3	48	18
45	8.4227e-09	9.9472e-06	995,346,493,272	4	18	11
46	9.8617e-09	1.1647e-05	995,311,346	3	50	18
47	1.0066e-08	1.1888e-05	041	1	717	97
48	1.0391e-08	1.2271e-05	995,041,346	3	35	15
49	2.1565e-08	2.5468e-05	041,272	2	205	40
50	2.838e-08	3.3517e-05	041,692	2	53	18
51	3.8582e-08	4.5565e-05	995,493,714	3	20	11
52	4.1888e-08	4.9469e-05	995,041,493,272	4	13	9
53	5.2455e-08	6.195e-05	696,995,272	3	29	13
54	5.2607e-08	6.2129e-05	714	1	477	70
55	1.0007e-07	0.00011819	995,346,401	3	69	20
56	1.0009e-07	0.0001182	733,995	2	95	24
57	1.0456e-07	0.00012349	714,272	2	138	30
58	2.0144e-07	0.0002379	311	1	907	111
59	2.1668e-07	0.0002559	995,311,692	3	32	13
60	2.5509e-07	0.00030126	041,493,272	3	15	9
61	3.1647e-07	0.00037375	346,493,272	3	28	12
62	5.4389e-07	0.00064233	733,995,692	3	16	9
63	5.7736e-07	0.00068186	995,199	2	57	17
64	1.0782e-06	0.0012733	995,311,493,272	4	17	9
65	1.0782e-06	0.0012733	995,493,272,692	4	17	9
66	1.0782e-06	0.0012733	995,692,569	3	17	9
67	1.0782e-06	0.0012733	995,530	2	17	9
68	1.1423e-06	0.0013491	995,250	2	93	22
69	1.1614e-06	0.0013716	696,995,493	3	26	11
70	1.1981e-06	0.0014149	995,346,714,272	4	7	6
71	1.248e-06	0.0014739	311,346	2	170	32
72	1.3457e-06	0.0015892	995,311,493,692	4	10	7
73	1.4047e-06	0.0016589	401,692	2	116	25
74	1.6151e-06	0.0019074	995,311,272,401	4	22	10
75	2.0116e-06	0.0023757	311,493,401	3	18	9
76	2.0505e-06	0.0024217	311,493,692	3	14	8
77	2.4326e-06	0.0028729	493,365,995	3	5	5
78	2.4326e-06	0.0028729	493,724,995	3	5	5
79	2.4326e-06	0.0028729	995,493,530	3	5	5
80	2.6642e-06	0.0031464	995,553	2	23	10
81	3.5659e-06	0.0042113	493,272,692	3	19	9
82	4.1539e-06	0.0049058	041,346	2	100	22
83	6.049e-06	0.0071439	733,995,493	3	20	9
