# LAMP ver. 2.0.3
# item-file: data/conditions/data_041.csv
# value-file: data/conditions/values_041.csv
# significance-level: 0.05
# P-value computing procedure: fisher (greater)
# # of tested elements: 106, # of samples: 16228, # of positive samples: 717
# Adjusted significance level: 3.8971e-05, Correction factor: 1283 (# of target rows >= 4)
# # of significant combinations: 24
Rank	Raw p-value	Adjusted p-value	Combination	Arity	# of target rows	# of positives in the targets
1	6.4397e-20	8.2621e-17	569	1	620	83
2	1.6965e-15	2.1766e-12	272	1	2755	205
3	9.6284e-14	1.2353e-10	272,569	2	190	36
4	1.192e-10	1.5293e-07	472,272	2	288	40
5	1.0066e-08	1.2914e-05	472	1	1225	97
6	3.6816e-08	4.7236e-05	995	1	2664	173
7	8.7332e-08	0.00011205	472,569	2	64	15
8	2.4959e-07	0.00032022	311,569	2	60	14
9	3.5511e-07	0.00045561	311,272	2	256	31
10	4.5614e-07	0.00058523	472,995	2	709	61
11	4.757e-07	0.00061032	346,569	2	63	14
12	7.0467e-07	0.00090409	346	1	1393	100
13	1.1076e-06	0.0014211	995,569	2	108	18
14	1.4283e-06	0.0018325	346,995	2	329	35
15	1.579e-06	0.0020259	346,272	2	288	32
16	1.8276e-06	0.0023449	472,272,346	3	43	11
17	1.9494e-06	0.0025011	733	1	530	48
18	4.6263e-06	0.0059356	995,272	2	515	46
19	5.4694e-06	0.0070172	472,272,569	3	24	8
20	6.0253e-06	0.0077304	346,272,995	3	77	14
21	1.3546e-05	0.01738	472,272,995	3	153	20
22	1.9658e-05	0.025222	472,346	2	183	22
23	2.3349e-05	0.029957	401,272	2	802	61
24	2.5884e-05	0.033209	696,714,272	3	15	6
Time (sec.): Computing correction factor 0.174, Enumerating significant combinations 4.606, Total 4.780
