# LAMP ver. 2.0.3
# item-file: data/conditions/data_311.csv
# value-file: data/conditions/values_311.csv
# significance-level: 0.05
# P-value computing procedure: fisher (greater)
# # of tested elements: 106, # of samples: 16228, # of positive samples: 907
# Adjusted significance level: 4.1118e-05, Correction factor: 1216 (# of target rows >= 4)
# # of significant combinations: 56
Rank	Raw p-value	Adjusted p-value	Combination	Arity	# of target rows	# of positives in the targets
1	1.7479e-23	2.1255e-20	346	1	1393	170
2	2.3161e-18	2.8164e-15	272	1	2755	256
3	5.1742e-16	6.2918e-13	729	1	138	37
4	1.0401e-14	1.2648e-11	346,272	2	288	53
5	4.9973e-14	6.0767e-11	346,401	2	252	48
6	3.0734e-11	3.7373e-08	401	1	2422	208
7	5.6227e-11	6.8372e-08	714	1	477	64
8	5.9926e-11	7.287e-08	401,272	2	802	91
9	7.733e-11	9.4033e-08	995,272	2	515	67
10	9.5623e-11	1.1628e-07	346,995	2	329	50
11	4.2539e-10	5.1728e-07	272,729	2	37	15
12	4.2539e-10	5.1728e-07	346,729	2	37	15
13	7.9283e-10	9.6409e-07	346,272,995	3	77	21
14	1.1043e-09	1.3428e-06	692	1	758	84
15	3.2949e-09	4.0066e-06	401,729	2	21	11
16	7.7003e-09	9.3636e-06	472,346	2	183	32
17	2.2516e-08	2.7379e-05	244	1	162	29
18	3.1124e-08	3.7847e-05	995,401	2	366	48
19	3.8722e-08	4.7085e-05	346,569	2	63	17
20	4.7777e-08	5.8097e-05	733,346	2	79	19
21	6.4213e-08	7.8083e-05	338	1	141	26
22	1.7216e-07	0.00020935	346,692	2	129	24
23	1.8648e-07	0.00022677	472,401	2	188	30
24	2.0144e-07	0.00024495	472	1	1225	111
25	2.1366e-07	0.00025981	472,401,346	3	29	11
26	2.6578e-07	0.00032318	472,272	2	288	39
27	3.9539e-07	0.00048079	493,272	2	154	26
28	4.001e-07	0.00048652	041,272	2	205	31
29	4.5086e-07	0.00054824	346,401,729	3	11	7
30	1.4528e-06	0.0017666	346,401,272	3	97	19
31	2.1231e-06	0.0025817	733,729	2	13	7
32	3.0511e-06	0.0037101	995,338	2	30	10
33	3.0884e-06	0.0037555	724,401,272	3	6	5
34	3.2703e-06	0.0039766	733	1	530	56
35	3.5988e-06	0.0043761	272,692	2	162	25
36	4.3148e-06	0.0052469	995,401,272	3	133	22
37	5.035e-06	0.0061225	041,401,272	3	61	14
38	6.7405e-06	0.0081965	346,272,692	3	26	9
39	7.0946e-06	0.008627	472,401,995	3	98	18
40	8.8068e-06	0.010709	995,714	2	109	19
41	8.9094e-06	0.010834	250,272	2	203	28
42	9.6974e-06	0.011792	733,272,729	3	4	4
43	9.7819e-06	0.011895	346,338	2	21	8
44	1.1752e-05	0.014291	995,272,692	3	57	13
45	1.2201e-05	0.014837	041,272,692	3	16	7
46	1.3582e-05	0.016516	472,272,995	3	153	23
47	1.6627e-05	0.020218	472,401,272	3	76	15
48	1.9742e-05	0.024006	346,995,569	3	17	7
49	2.1829e-05	0.026544	472,995,346	3	106	18
50	2.2594e-05	0.027475	569	1	620	60
51	2.2782e-05	0.027703	346,401,995	3	69	14
52	2.4034e-05	0.029225	995,493,272	3	97	17
53	2.7467e-05	0.0334	041,692	2	53	12
54	3.1908e-05	0.0388	995,401,692	3	38	10
55	3.3539e-05	0.040783	733,714	2	54	12
56	4.0779e-05	0.049588	472,401,272,995	4	39	10
Time (sec.): Computing correction factor 0.156, Enumerating significant combinations 5.100, Total 5.256
