# LAMP ver. 2.0.3
# item-file: data/conditions/data_401.csv
# value-file: data/conditions/values_401.csv
# significance-level: 0.05
# P-value computing procedure: fisher (greater)
# # of tested elements: 106, # of samples: 16228, # of positive samples: 2422
# Adjusted significance level: 6.6489e-05, Correction factor: 752 (# of target rows >= 6)
# # of significant combinations: 39
Rank	Raw p-value	Adjusted p-value	Combination	Arity	# of target rows	# of positives in the targets
1	9.1717e-101	6.8971e-98	272	1	2755	802
2	2.7772e-55	2.0885e-52	250	1	546	230
3	2.4877e-45	1.8707e-42	250,272	2	203	117
4	1.4998e-16	1.1278e-13	311,272	2	256	91
5	8.6236e-16	6.485e-13	346,272	2	288	97
6	1.1575e-13	8.7041e-11	995,250	2	93	44
7	2.14e-13	1.6093e-10	272,569	2	190	69
8	7.6507e-13	5.7533e-10	714,272	2	138	55
9	3.0734e-11	2.3112e-08	311	1	907	208
10	3.4308e-11	2.58e-08	995,250,272	3	39	24
11	4.263e-11	3.2058e-08	995,272	2	515	133
12	1.527e-09	1.1483e-06	410	1	61	29
13	1.8353e-09	1.3801e-06	250,311	2	48	25
14	3.245e-09	2.4403e-06	995,346,272	3	77	33
15	3.705e-09	2.7862e-06	250,311,272	3	28	18
16	4.6096e-09	3.4664e-06	250,346	2	53	26
17	5.0279e-09	3.781e-06	569	1	620	146
18	1.8066e-08	1.3586e-05	250,569	2	30	18
19	4.0665e-08	3.058e-05	041,272	2	205	61
20	1.0807e-07	8.127e-05	733,250	2	21	14
21	1.3328e-07	0.00010022	250,714	2	24	15
22	2.5401e-07	0.00019102	472,272	2	288	76
23	2.9229e-07	0.0002198	272,410	2	28	16
24	5.645e-07	0.00042451	995,250,346	3	23	14
25	9.9903e-07	0.00075127	250,714,272	3	13	10
26	1.1864e-06	0.00089214	714	1	477	110
27	1.4848e-06	0.0011165	602	1	79	29
28	4.1354e-06	0.0031098	250,272,569	3	17	11
29	5.5507e-06	0.0041741	311,346	2	170	48
30	8.2619e-06	0.0062129	995,250,569	3	10	8
31	9.3463e-06	0.0070284	250,041	2	21	12
32	1.0994e-05	0.0082677	995,250,272,569	4	6	6
33	1.2064e-05	0.009072	696,272	2	127	38
34	1.4059e-05	0.010572	199,272	2	66	24
35	1.4583e-05	0.010966	274	1	54	21
36	3.809e-05	0.028644	272,692	2	162	44
37	3.8136e-05	0.028678	250,346,272	3	17	10
38	4.4605e-05	0.033543	995,272,715	3	9	7
39	5.6191e-05	0.042256	041,311,272	3	31	14
Time (sec.): Computing correction factor 0.146, Enumerating significant combinations 6.821, Total 6.966
