# LAMP ver. 2.0.3
# item-file: data/conditions/data_493.csv
# value-file: data/conditions/values_493.csv
# significance-level: 0.05
# P-value computing procedure: fisher (greater)
# # of tested elements: 106, # of samples: 16228, # of positive samples: 839
# Adjusted significance level: 3.8941e-05, Correction factor: 1284 (# of target rows >= 4)
# # of significant combinations: 57
Rank	Raw p-value	Adjusted p-value	Combination	Arity	# of target rows	# of positives in the targets
1	6.3096e-219	8.1015e-216	995	1	2664	530
2	2.0132e-123	2.585e-120	995,472	2	709	227
3	1.6478e-95	2.1158e-92	472	1	1225	259
4	1.5326e-30	1.9679e-27	995,692	2	276	71
5	1.3475e-29	1.7302e-26	995,272	2	515	97
6	3.4783e-27	4.4661e-24	995,472,692	3	121	45
7	2.2009e-25	2.826e-22	995,401	2	366	75
8	3.0731e-23	3.9459e-20	995,472,272	3	153	46
9	1.3101e-19	1.6822e-16	472,692	2	184	46
10	2.9385e-17	3.7731e-14	995,346	2	329	59
11	8.769e-17	1.1259e-13	995,472,401	3	98	31
12	1.296e-16	1.664e-13	995,472,346	3	106	32
13	4.0877e-16	5.2487e-13	472,272	2	288	53
14	1.1202e-15	1.4383e-12	995,311	2	193	42
15	1.2826e-12	1.6469e-09	995,041,472	3	61	21
16	1.5027e-12	1.9294e-09	472,401	2	188	37
17	2.6364e-12	3.3851e-09	995,311,472	3	63	21
18	9.0776e-12	1.1656e-08	692	1	758	85
19	1.4248e-11	1.8294e-08	472,346	2	183	35
20	2.7847e-11	3.5756e-08	995,472,272,401	4	39	16
21	3.2875e-11	4.2212e-08	995,472,569	3	34	15
22	1.6163e-10	2.0753e-07	696,995	2	116	26
23	3.2562e-10	4.1809e-07	311,472	2	111	25
24	1.1319e-09	1.4534e-06	995,041	2	173	31
25	2.2058e-09	2.8322e-06	472,569	2	64	18
26	2.273e-09	2.9185e-06	995,272,692	3	57	17
27	5.2746e-09	6.7726e-06	995,569	2	108	23
28	1.512e-08	1.9415e-05	995,472,346,272	4	25	11
29	1.7895e-08	2.2977e-05	041,472	2	97	21
30	3.368e-08	4.3245e-05	995,311,272	3	67	17
31	5.3025e-08	6.8084e-05	995,346,272	3	77	18
32	6.4129e-08	8.2341e-05	733,995	2	95	20
33	7.3976e-08	9.4985e-05	995,272,401	3	133	24
34	1.4599e-07	0.00018745	696,995,472	3	30	11
35	2.4625e-07	0.00031618	472,272,401	3	76	17
36	2.5363e-07	0.00032566	995,041,472,272	4	20	9
37	3.5689e-07	0.00045825	995,041,272	3	46	13
38	6.7848e-07	0.00087117	995,714	2	109	20
39	8.7882e-07	0.0011284	995,472,714	3	35	11
40	1.0721e-06	0.0013765	995,311,472,272	4	23	9
41	1.0721e-06	0.0013765	995,472,272,692	4	23	9
42	1.171e-06	0.0015036	472,346,272	3	43	12
43	1.2567e-06	0.0016136	995,311,472,692	4	13	7
44	1.3594e-06	0.0017454	311,472,692	3	18	8
45	1.6368e-06	0.0021017	733,995,472	3	24	9
46	2.9485e-06	0.0037859	995,311,692	3	32	10
47	4.1884e-06	0.0053779	995,311,401	3	48	12
48	7.0271e-06	0.0090228	995,472,365	3	7	5
49	7.6039e-06	0.0097634	696,472	2	59	13
50	1.3529e-05	0.017371	311,472,401	3	30	9
51	1.6285e-05	0.02091	995,401,692	3	38	10
52	1.8549e-05	0.023817	995,311,472,401	4	18	7
53	1.8549e-05	0.023817	V83,472	2	18	7
54	3.3287e-05	0.042741	995,346,692	3	58	12
55	3.3539e-05	0.043063	995,V83	2	41	10
56	3.8638e-05	0.049612	995,472,272,569	4	9	5
57	3.8638e-05	0.049612	995,472,530	3	9	5
Time (sec.): Computing correction factor 0.142, Enumerating significant combinations 4.648, Total 4.790
