# LAMP ver. 2.0.3
# item-file: data/conditions/data_272.csv
# value-file: data/conditions/values_272.csv
# significance-level: 0.05
# P-value computing procedure: fisher (greater)
# # of tested elements: 106, # of samples: 16228, # of positive samples: 2755
# Adjusted significance level: 7.1023e-05, Correction factor: 704 (# of target rows >= 6)
# # of significant combinations: 64
Rank	Raw p-value	Adjusted p-value	Combination	Arity	# of target rows	# of positives in the targets
1	9.1717e-101	6.4569e-98	401	1	2422	802
2	1.6378e-32	1.153e-29	250,401	2	230	117
3	8.9281e-31	6.2854e-28	250	1	546	203
4	8.8783e-20	6.2503e-17	311,401	2	208	91
5	1.7751e-19	1.2497e-16	995,401	2	366	133
6	2.3161e-18	1.6306e-15	311	1	907	256
7	8.8792e-18	6.251e-15	569	1	620	190
8	1.7269e-17	1.2157e-14	401,569	2	146	69
9	2.0153e-16	1.4188e-13	346,401	2	252	97
10	1.2248e-15	8.6223e-13	041,401	2	129	61
11	1.4573e-15	1.0259e-12	714,401	2	110	55
12	1.6965e-15	1.1944e-12	041	1	717	205
13	1.759e-14	1.2384e-11	472,401	2	188	76
14	3.3215e-11	2.3383e-08	714	1	477	138
15	5.5875e-11	3.9336e-08	733	1	530	149
16	1.1814e-10	8.3172e-08	311,250	2	48	28
17	7.1387e-10	5.0257e-07	472	1	1225	288
18	1.62e-09	1.1405e-06	311,995	2	193	67
19	1.8628e-09	1.3114e-06	311,250,401	3	25	18
20	2.9016e-09	2.0427e-06	346,401,995	3	69	33
21	3.643e-09	2.5647e-06	311,041	2	63	31
22	3.9352e-09	2.7704e-06	250,041	2	21	16
23	4.7075e-09	3.3141e-06	733,401	2	87	38
24	1.1989e-08	8.4404e-06	995,250	2	93	39
25	1.3901e-08	9.7861e-06	472,041	2	97	40
26	1.4912e-08	1.0498e-05	041,569	2	83	36
27	1.5758e-08	1.1094e-05	995,250,401	3	44	24
28	2.4767e-08	1.7436e-05	311,041,401	3	18	14
29	5.346e-08	3.7636e-05	401,692	2	116	44
30	6.6958e-08	4.7138e-05	472,401,995	3	98	39
31	1.3682e-07	9.632e-05	410	1	61	28
32	3.2096e-07	0.00022596	472,714	2	70	30
33	9.3514e-07	0.00065834	472,250	2	39	20
34	9.7858e-07	0.00068892	250,569	2	30	17
35	1.0924e-06	0.00076903	733,472	2	49	23
36	1.3066e-06	0.00091987	995,401,569	3	22	14
37	2.8336e-06	0.0019948	311,472	2	111	39
38	3.0713e-06	0.0021622	311,401,995	3	48	22
39	3.3115e-06	0.0023313	401,410	2	29	16
40	3.5612e-06	0.0025071	311,346	2	170	53
41	4.678e-06	0.0032933	696,401	2	109	38
42	8.505e-06	0.0059875	274	1	54	23
43	1.0082e-05	0.0070979	472,250,401	3	14	10
44	1.0408e-05	0.0073275	472,493,401,995	4	31	16
45	1.554e-05	0.01094	250,041,401	3	12	9
46	1.8166e-05	0.012789	692,569	2	42	19
47	2.5621e-05	0.018037	250,714,401	3	15	10
48	2.6912e-05	0.018946	311,995,346	3	50	21
49	2.752e-05	0.019374	995,401,715	3	8	7
50	3.217e-05	0.022648	311,401,472	3	30	15
51	3.2639e-05	0.022978	250,401,569	3	18	11
52	3.2639e-05	0.022978	346,714,401	3	18	11
53	3.6596e-05	0.025763	250,714	2	24	13
54	3.9018e-05	0.027468	472,493,401	3	37	17
55	4.325e-05	0.030448	346,714	2	55	22
56	4.4022e-05	0.030991	553	1	94	32
57	4.9339e-05	0.034735	714,569	2	41	18
58	5.0237e-05	0.035367	493,401	2	128	40
59	5.5396e-05	0.038999	311,493	2	71	26
60	5.9108e-05	0.041612	995,041,401	3	28	14
61	6.348e-05	0.04469	995,569	2	108	35
62	6.5605e-05	0.046186	472,041,401	3	19	11
63	6.8237e-05	0.048039	472,569	2	64	24
64	7.0956e-05	0.049953	472,714,995	3	35	16
Time (sec.): Computing correction factor 0.162, Enumerating significant combinations 6.441, Total 6.603
