# LAMP ver. 2.0.3
# item-file: data/conditions/data_714.csv
# value-file: data/conditions/values_714.csv
# significance-level: 0.05
# P-value computing procedure: fisher (greater)
# # of tested elements: 106, # of samples: 16228, # of positive samples: 477
# Adjusted significance level: 2.8506e-05, Correction factor: 1754 (# of target rows >= 3)
# # of significant combinations: 28
Rank	Raw p-value	Adjusted p-value	Combination	Arity	# of target rows	# of positives in the targets
1	1.1464e-15	2.0108e-12	733	1	530	54
2	3.3215e-11	5.8259e-08	272	1	2755	138
3	5.6227e-11	9.8621e-08	311	1	907	64
4	6.2331e-10	1.0933e-06	696	1	593	47
5	1.9497e-09	3.4197e-06	472,272	2	288	30
6	4.0428e-09	7.0911e-06	272,401	2	802	55
7	3.2345e-08	5.6733e-05	733,569	2	53	12
8	5.2607e-08	9.2273e-05	472	1	1225	70
9	6.2489e-08	0.00010961	733,311	2	56	12
10	2.8148e-07	0.00049372	696,995	2	116	16
11	9.8677e-07	0.0017308	696,472	2	59	11
12	1.1197e-06	0.001964	569	1	620	41
13	1.1864e-06	0.0020809	401	1	2422	110
14	1.7398e-06	0.0030516	696,472,995	3	30	8
15	1.8476e-06	0.0032406	733,272	2	149	17
16	2.3035e-06	0.0040403	696,041	2	41	9
17	3.8952e-06	0.0068322	696,041,272	3	16	6
18	3.9787e-06	0.0069786	338	1	141	16
19	4.3085e-06	0.0075572	995,311	2	193	19
20	4.8375e-06	0.008485	696,272	2	127	15
21	8.6946e-06	0.01525	733,401	2	87	12
22	9.8269e-06	0.017236	995,272	2	515	34
23	1.1435e-05	0.020057	995,472,272	3	153	16
24	1.307e-05	0.022926	569,272	2	190	18
25	2.1667e-05	0.038004	733,995	2	95	12
26	2.2746e-05	0.039897	733,338	2	13	5
27	2.5241e-05	0.044272	733,569,346,401	4	3	3
28	2.5241e-05	0.044272	733,401,338	3	3	3
Time (sec.): Computing correction factor 0.169, Enumerating significant combinations 3.508, Total 3.678
