# LAMP ver. 2.0.3
# item-file: data/conditions/data_692.csv
# value-file: data/conditions/values_692.csv
# significance-level: 0.05
# P-value computing procedure: fisher (greater)
# # of tested elements: 106, # of samples: 16228, # of positive samples: 758
# Adjusted significance level: 3.937e-05, Correction factor: 1270 (# of target rows >= 4)
# # of significant combinations: 50
Rank	Raw p-value	Adjusted p-value	Combination	Arity	# of target rows	# of positives in the targets
1	5.4326e-49	6.8993e-46	472	1	1225	184
2	1.0557e-42	1.3408e-39	995	1	2664	276
3	4.8932e-37	6.2143e-34	995,472	2	709	121
4	1.1256e-18	1.4296e-15	995,346	2	329	58
5	9.7441e-17	1.2375e-13	995,472,493	3	227	45
6	6.9847e-16	8.8705e-13	995,493	2	530	71
7	7.3317e-16	9.3113e-13	696	1	593	76
8	3.5562e-15	4.5164e-12	472,493	2	259	46
9	1.6092e-14	2.0436e-11	346	1	1393	129
10	4.0954e-13	5.2012e-10	696,995	2	116	28
11	8.006e-13	1.0168e-09	472,346	2	183	35
12	9.0776e-12	1.1529e-08	493	1	839	85
13	8.3357e-11	1.0586e-07	995,472,346	3	106	24
14	3.7256e-10	4.7316e-07	995,311	2	193	32
15	1.1043e-09	1.4024e-06	311	1	907	84
16	1.2026e-09	1.5274e-06	995,272	2	515	57
17	7.3174e-09	9.2931e-06	696,472	2	59	16
18	7.2279e-08	9.1795e-05	472,272	2	288	36
19	4.7681e-07	0.00060555	041,472	2	97	18
20	5.9738e-07	0.00075867	696,995,472	3	30	10
21	6.8009e-07	0.00086371	995,472,272	3	153	23
22	7.0078e-07	0.00088999	733,995,472	3	24	9
23	1.2537e-06	0.0015922	311,346	2	170	24
24	1.8503e-06	0.0023499	733,472	2	49	12
25	2.2663e-06	0.0028782	995,493,272	3	97	17
26	2.3182e-06	0.0029441	472,401	2	188	25
27	2.6247e-06	0.0033333	995,472,401	3	98	17
28	3.505e-06	0.0044514	995,401	2	366	38
29	3.658e-06	0.0046456	311,472	2	111	18
30	3.7326e-06	0.0047404	995,041,472	3	61	13
31	4.2136e-06	0.0053513	311,493	2	71	14
32	5.4587e-06	0.0069326	995,311,472	3	63	13
33	6.5609e-06	0.0083323	569,472	2	64	13
34	7.6349e-06	0.0096964	733,995	2	95	16
35	1.0216e-05	0.012974	569,995	2	108	17
36	1.0924e-05	0.013874	995,250,714	3	8	5
37	1.1134e-05	0.01414	995,311,272	3	67	13
38	1.1587e-05	0.014715	995,714	2	109	17
39	1.1624e-05	0.014762	311,472,493	3	25	8
40	1.4612e-05	0.018557	995,346,493	3	59	12
41	1.5094e-05	0.019169	995,311,346	3	50	11
42	1.7037e-05	0.021638	346,493	2	101	16
43	1.7578e-05	0.022324	995,311,493	3	42	10
44	1.8452e-05	0.023434	569,995,472	3	34	9
45	1.8969e-05	0.024091	995,041	2	173	22
46	2.2743e-05	0.028884	733,995,041,472	4	5	4
47	2.3632e-05	0.030013	569,995,472,272	4	9	5
48	2.9342e-05	0.037264	041,311	2	63	12
49	3.0864e-05	0.039197	995,311,472,493	4	21	7
50	3.5455e-05	0.045027	696,995,346	3	15	6
Time (sec.): Computing correction factor 0.144, Enumerating significant combinations 4.630, Total 4.774
